step_id,campaign_id,campaign_name,industry,sender,receiver,step_order,subject,wait_days,variant,variant_from_step
25,1,MFG Outbound 1,Manufacturing,Unknown,Unknown,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
1,2,Mfg (gush domain) - Batch 1 (05/03,Manufacturing,Unknown,Unknown,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
2,2,Mfg (gush domain) - Batch 1 (05/03,Manufacturing,Unknown,Unknown,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
44,2,Mfg (gush domain) - Batch 1 (05/03,Manufacturing,Unknown,Unknown,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
45,2,Mfg (gush domain) - Batch 1 (05/03,Manufacturing,Unknown,Unknown,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
14,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,0,for {FIRST_NAME},2,True,13
24,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,True,23
41,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,True,40
43,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,42
13,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
23,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
40,5,MFG Outbound - Google → Google (11_03),Manufacturing,Google,Google,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
