industry,week,week_start,sent,replies_events,interested_events,bounced,unique_opens
Advertising,2026-W09,2026-02-23,0,0,0,0,0
Advertising,2026-W10,2026-03-02,0,0,0,0,0
Advertising,2026-W11,2026-03-09,0,0,0,0,0
Advertising,2026-W12,2026-03-16,0,0,0,0,0
Advertising,2026-W13,2026-03-23,0,0,0,0,0
Advertising,2026-W14,2026-03-30,0,0,0,0,0
Advertising,2026-W15,2026-04-06,0,0,0,0,0
Advertising,2026-W16,2026-04-13,0,0,0,0,0
Advertising,2026-W17,2026-04-20,27742,479,35,215,0
Advertising,2026-W18,2026-04-27,35839,289,23,87,0
BCS,2026-W09,2026-02-23,0,0,0,0,0
BCS,2026-W10,2026-03-02,0,0,0,0,0
BCS,2026-W11,2026-03-09,0,0,0,0,0
BCS,2026-W12,2026-03-16,0,0,0,0,0
BCS,2026-W13,2026-03-23,0,0,0,0,0
BCS,2026-W14,2026-03-30,0,0,0,0,0
BCS,2026-W15,2026-04-06,0,0,0,0,0
BCS,2026-W16,2026-04-13,42070,251,12,365,0
BCS,2026-W17,2026-04-20,33697,154,7,62,0
BCS,2026-W18,2026-04-27,11344,29,1,26,0
Commercial,2026-W09,2026-02-23,0,0,0,0,0
Commercial,2026-W10,2026-03-02,0,0,0,0,0
Commercial,2026-W11,2026-03-09,0,0,0,0,0
Commercial,2026-W12,2026-03-16,0,0,0,0,0
Commercial,2026-W13,2026-03-23,0,0,0,0,0
Commercial,2026-W14,2026-03-30,0,0,0,0,0
Commercial,2026-W15,2026-04-06,0,0,0,0,0
Commercial,2026-W16,2026-04-13,14454,140,7,181,0
Commercial,2026-W17,2026-04-20,19201,107,5,78,0
Commercial,2026-W18,2026-04-27,7258,32,3,22,0
EWWS,2026-W09,2026-02-23,0,0,0,0,0
EWWS,2026-W10,2026-03-02,0,0,0,0,0
EWWS,2026-W11,2026-03-09,0,0,0,0,0
EWWS,2026-W12,2026-03-16,0,0,0,0,0
EWWS,2026-W13,2026-03-23,0,0,0,0,0
EWWS,2026-W14,2026-03-30,0,0,0,0,0
EWWS,2026-W15,2026-04-06,0,0,0,0,0
EWWS,2026-W16,2026-04-13,0,0,0,0,0
EWWS,2026-W17,2026-04-20,21522,261,7,228,0
EWWS,2026-W18,2026-04-27,27419,134,6,156,0
Equipment Rental,2026-W09,2026-02-23,0,0,0,0,0
Equipment Rental,2026-W10,2026-03-02,0,0,0,0,0
Equipment Rental,2026-W11,2026-03-09,0,0,0,0,0
Equipment Rental,2026-W12,2026-03-16,0,0,0,0,0
Equipment Rental,2026-W13,2026-03-23,0,0,0,0,0
Equipment Rental,2026-W14,2026-03-30,0,0,0,0,0
Equipment Rental,2026-W15,2026-04-06,0,0,0,0,0
Equipment Rental,2026-W16,2026-04-13,0,0,0,0,0
Equipment Rental,2026-W17,2026-04-20,7335,86,10,144,0
Equipment Rental,2026-W18,2026-04-27,11875,77,4,77,0
IT & Consulting,2026-W09,2026-02-23,0,0,0,0,0
IT & Consulting,2026-W10,2026-03-02,0,0,0,0,0
IT & Consulting,2026-W11,2026-03-09,0,0,0,0,0
IT & Consulting,2026-W12,2026-03-16,0,0,0,0,0
IT & Consulting,2026-W13,2026-03-23,7520,104,6,789,0
IT & Consulting,2026-W14,2026-03-30,102699,1077,129,3061,0
IT & Consulting,2026-W15,2026-04-06,181507,1390,184,3743,0
IT & Consulting,2026-W16,2026-04-13,51841,313,29,183,0
IT & Consulting,2026-W17,2026-04-20,31597,134,11,256,0
IT & Consulting,2026-W18,2026-04-27,700,7,3,7,0
Manufacturing,2026-W09,2026-02-23,0,0,0,0,0
Manufacturing,2026-W10,2026-03-02,7356,150,4,965,0
Manufacturing,2026-W11,2026-03-09,24493,405,23,1159,0
Manufacturing,2026-W12,2026-03-16,68067,1093,64,2393,0
Manufacturing,2026-W13,2026-03-23,69873,734,51,607,0
Manufacturing,2026-W14,2026-03-30,59286,1073,47,1700,0
Manufacturing,2026-W15,2026-04-06,39919,587,44,200,0
Manufacturing,2026-W16,2026-04-13,48866,465,26,900,0
Manufacturing,2026-W17,2026-04-20,57329,260,11,818,0
Manufacturing,2026-W18,2026-04-27,93194,998,33,1464,0
Medical Equipment,2026-W09,2026-02-23,0,0,0,0,0
Medical Equipment,2026-W10,2026-03-02,0,0,0,0,0
Medical Equipment,2026-W11,2026-03-09,0,0,0,0,0
Medical Equipment,2026-W12,2026-03-16,0,0,0,0,0
Medical Equipment,2026-W13,2026-03-23,0,0,0,0,0
Medical Equipment,2026-W14,2026-03-30,0,0,0,0,0
Medical Equipment,2026-W15,2026-04-06,0,0,0,0,0
Medical Equipment,2026-W16,2026-04-13,0,0,0,0,0
Medical Equipment,2026-W17,2026-04-20,21625,114,6,277,0
Medical Equipment,2026-W18,2026-04-27,17428,65,5,37,0
Truck Transportation,2026-W09,2026-02-23,0,0,0,0,0
Truck Transportation,2026-W10,2026-03-02,0,0,0,0,0
Truck Transportation,2026-W11,2026-03-09,0,0,0,0,0
Truck Transportation,2026-W12,2026-03-16,0,0,0,0,0
Truck Transportation,2026-W13,2026-03-23,0,0,0,0,0
Truck Transportation,2026-W14,2026-03-30,0,0,0,0,0
Truck Transportation,2026-W15,2026-04-06,13132,197,10,296,0
Truck Transportation,2026-W16,2026-04-13,77248,576,31,1848,0
Truck Transportation,2026-W17,2026-04-20,29005,108,5,137,0
Truck Transportation,2026-W18,2026-04-27,618,3,0,1,0
