industry,step_order,sent,leads_contacted,unique_replies,interested,bounced,demos,closes,reply_rate,interest_rate,demos_per_interested,close_per_demo
Advertising,0,31703,31703,404,31,150,2,0,1.2743,0.0978,6.45,0.0
Advertising,1,13305,13305,149,10,126,1,0,1.1199,0.0752,10.0,0.0
Advertising,2,12185,12185,125,12,18,0,0,1.0259,0.0985,0.0,0
Advertising,3,6388,6388,76,5,8,1,0,1.1897,0.0783,20.0,0.0
BCS,0,43559,43559,246,11,242,1,0,0.5648,0.0253,9.09,0.0
BCS,1,17225,17225,65,2,167,0,0,0.3774,0.0116,0.0,0
BCS,2,14395,14395,58,6,25,0,0,0.4029,0.0417,0.0,0
BCS,3,11932,11932,62,1,19,0,0,0.5196,0.0084,0.0,0
Commercial,0,20469,20469,146,7,154,0,0,0.7133,0.0342,0.0,0
Commercial,1,9081,9081,59,3,100,0,0,0.6497,0.033,0.0,0
Commercial,2,6691,6691,41,3,18,1,0,0.6128,0.0448,33.33,0.0
Commercial,3,4672,4672,31,2,9,0,0,0.6635,0.0428,0.0,0
EWWS,0,24529,24529,226,5,217,0,0,0.9214,0.0204,0.0,0
EWWS,1,10353,10353,67,1,135,0,0,0.6472,0.0097,0.0,0
EWWS,2,8981,8981,58,6,22,0,0,0.6458,0.0668,0.0,0
EWWS,3,5078,5078,41,1,10,0,0,0.8074,0.0197,0.0,0
Equipment Rental,0,9667,9667,86,7,140,3,0,0.8896,0.0724,42.86,0.0
Equipment Rental,1,4544,4544,42,3,68,0,0,0.9243,0.066,0.0,0
Equipment Rental,2,3273,3273,23,3,11,0,0,0.7027,0.0917,0.0,0
Equipment Rental,3,1726,1726,7,1,2,0,0,0.4056,0.0579,0.0,0
IT & Consulting,0,187681,187679,1583,178,4147,36,1,0.8435,0.0948,20.22,2.78
IT & Consulting,1,63440,63439,547,54,3251,3,0,0.8622,0.0851,5.56,0.0
IT & Consulting,2,45560,45560,319,65,410,10,0,0.7002,0.1427,15.38,0.0
IT & Consulting,3,40736,40736,248,44,132,8,0,0.6088,0.108,18.18,0.0
IT & Consulting,4,38447,38446,275,21,99,6,0,0.7153,0.0546,28.57,0.0
Manufacturing,0,208968,208968,2624,142,4150,21,3,1.2557,0.068,14.79,14.29
Manufacturing,1,105884,105883,1609,51,5396,7,2,1.5196,0.0482,13.73,28.57
Manufacturing,2,65953,65953,675,60,350,6,0,1.0235,0.091,10.0,0.0
Manufacturing,3,45819,45819,419,41,210,4,0,0.9145,0.0895,9.76,0.0
Manufacturing,4,41759,41759,351,9,100,0,0,0.8405,0.0216,0.0,0
Medical Equipment,0,19477,19477,98,7,163,2,0,0.5032,0.0359,28.57,0.0
Medical Equipment,1,8531,8531,27,0,130,0,0,0.3165,0.0,0,0
Medical Equipment,2,7276,7276,27,2,16,0,0,0.3711,0.0275,0.0,0
Medical Equipment,3,3769,3769,26,2,5,0,0,0.6898,0.0531,0.0,0
Truck Transportation,0,60041,60041,441,19,1219,1,0,0.7345,0.0316,5.26,0.0
Truck Transportation,1,17659,17659,180,10,905,1,0,1.0193,0.0566,10.0,0.0
Truck Transportation,2,15913,15912,86,7,70,2,0,0.5405,0.044,28.57,0.0
Truck Transportation,3,14597,14597,76,5,50,1,0,0.5207,0.0343,20.0,0.0
Truck Transportation,4,11793,11793,88,5,38,0,0,0.7462,0.0424,0.0,0
